plotid,center_lon,center_lat,shape,size_m,sample_points,email,flagged,flagged_reason,confidence,collection_time,analysis_duration,Land cover elements:Wetland,Land cover elements:Grasses,Land cover elements:Cropland,Land cover elements:Snow/ice,Land cover elements:Barren,Land cover elements:Built-up,Land cover elements:Built-up structures,Land cover elements:Trees,Land cover elements:Water,Land cover elements:Shrubs
125,-97.769813,30.623284,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 04:08,216.3 secs,0,24.00,0,0,0,30.00,40.00,0,6.00,0
126,-97.769813,30.627781,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 04:18,597.0 secs,0,0,0,0,20.00,0,0,80.00,0,0
127,-97.769813,30.632278,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 04:23,316.2 secs,0,20.00,0,0,0,0,0,80.00,0,0
128,-97.769813,30.636774,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 04:28,297.3 secs,0,0,51.00,0,0,0,0,49.00,0,0
129,-97.769813,30.641271,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 04:32,209.7 secs,0,0,0,0,46.00,0,0,54.00,0,0
130,-97.769813,30.645767,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 04:41,524.1 secs,0,3.00,41.00,0,0,7.00,2.00,40.00,7.00,0
131,-97.764588,30.623284,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 04:49,470.2 secs,0,54.00,0,0,0,0,0,46.00,0,0
132,-97.764588,30.627781,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 04:53,287.3 secs,0,15.00,0,0,4.00,23.00,9.00,49.00,0,0
133,-97.764588,30.632278,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 05:01,445.5 secs,0,8.00,0,0,0,49.00,15.00,28.00,0,0
134,-97.764588,30.636774,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 05:04,188.5 secs,0,56.00,0,0,0,28.00,4.00,11.00,0,1.00
135,-97.764588,30.641271,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 05:16,726.6 secs,1.00,3.00,43.00,0,0,16.00,8.00,29.00,0,0
136,-97.764588,30.645767,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 05:18,140.1 secs,0,38.00,0,0,0,26.00,5.00,31.00,0,0
